Code,Location Name,Type,Nation,Province,LATLONG,Latitude,N/S,Longitude,E/W,UTM,MGRS,National Reference,Air,Sea,Road,IWW,Rail,Pipe,HNS,NSIP,POD,GLN,National ID,APP6-B Symbol,APP6-C Symbol,Classification,Releasability,Remarks,Last Change By,Last Change,Throughput,Storage Areas
AA5326,MIEDZYLESIE,Rail Border Crossing Point,POL: Poland,,500839N0163921E,50.14416885,N,16.6558342,E,33U 618310 5555972,33U XR 18311 55973,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,MIEDZYLESIE - LICHKOV,CENTRALLY MANAGED,43718.74056,"Rail:  Assets in / day
Rail:  Assets out / day",
AA5327,GLUCHOLAZY - MIK,Rail Border Crossing Point,POL: Poland,,501910N0172150E,50.31944656,N,17.36388969,E,33U 668279 5576821,33U XR 68279 76821,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5328,GLUCHOLAZY - JIN,Rail Border Crossing Point,POL: Poland,,501630N0172940E,50.27500153,N,17.4944458,E,33U 677737 5572183,33U XR 77737 72184,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5329,BRANIEWO,Rail Border Crossing Point,POL: Poland,,542630N0195000E,54.44166946,N,19.83333588,E,34U 424338 6033290,34U DF 24339 33290,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5330,SKANDAWA,Rail Border Crossing Point,POL: Poland,,542000N0211850E,54.33333588,N,21.31389046,E,34U 520410 6020654,34U EF 20411 20655,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5331,BARTOSZYCE,Rail Border Crossing Point,POL: Poland,,542150N0204210E,54.36388779,N,20.70277977,E,34U 480687 6024050,34U DF 80688 24050,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5332,ZWARDON,Rail Border Crossing Point,POL: Poland,,493020N0185730E,49.50555801,N,18.95833588,E,34U 352189 5485661,34U CV 52189 85662,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5333,CIESZYN,Rail Border Crossing Point,POL: Poland,,494440N0183720E,49.7444458,N,18.6222229,E,34U 328698 5512930,34U CA 28698 12931,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5334,CHALUPKI,Rail Border Crossing Point,POL: Poland,,495500N0181920E,49.91666794,N,18.32222366,E,34U 307771 5532803,34U CA 07772 32803,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5644,BRECLAV,Rail Border Crossing Point,CZE: Czech Republic,,484541N0165326E,48.76139069,N,16.89055824,E,33U 638936 5402655,33U XQ 38936 02655,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5660,C?NOVEC,Road Border Crossing Point,CZE: Czech Republic,,504313N0134147E,50.72027969,N,13.69639015,E,33U 407978 5619529,33U VS 07979 19530,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5661,HORA sv. SEBESTIANA,Road Border Crossing Point,CZE: Czech Republic,,503251N0131340E,50.54750061,N,13.22777843,E,33U 374442 5601006,33U US 74442 01007,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5662,VEJPRTY,Road Border Crossing Point,CZE: Czech Republic,,502937N0130126E,50.49361038,N,13.02388859,E,33U 359838 5595380,33U UR 59838 95380,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5663,VOJTANOV,Road Border Crossing Point,CZE: Czech Republic,,501015N0121903E,50.17083359,N,12.31750107,E,33U 308447 5561069,33U UR 08448 61070,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5664,POMEZI nad OHRI,Road Border Crossing Point,CZE: Czech Republic,,500512N0121522E,50.08666611,N,12.2561121,E,33U 303720 5551872,33U UR 03720 51873,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5665,ROZVADOV,Road Border Crossing Point,CZE: Czech Republic,,493920N0123138E,49.65555573,N,12.52722359,E,33U 321529 5503271,33U UR 21529 03271,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5666,FOLMAVA,Road Border Crossing Point,CZE: Czech Republic,,492032N0125109E,49.34222412,N,12.85250187,E,33U 344010 5467718,33U UQ 44011 67718,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5667,STR??N?,Road Border Crossing Point,CZE: Czech Republic,,485254N0134240E,48.88166809,N,13.71111298,E,33U 405505 5415102,33U VQ 05505 15102,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5668,CHOT?BUZ,Road Border Crossing Point,CZE: Czech Republic,,494456N0183743E,49.74888992,N,18.62861252,E,34U 329173 5513410,34U CA 29174 13410,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5669,MIKULOVICE,Road Border Crossing Point,CZE: Czech Republic,,501814N0171949E,50.30389023,N,17.3302784,E,33U 665940 5575016,33U XR 65941 75016,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5670,DOLN? LIPKA,Road Border Crossing Point,CZE: Czech Republic,,500559N0164230E,50.09972382,N,16.70833397,E,33U 622174 5551115,33U XR 22175 51116,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5671,NACHOD,Road Border Crossing Point,CZE: Czech Republic,,502542N0161149E,50.42833328,N,16.19694519,E,33U 585015 5586941,33U WR 85016 86941,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5672,KR?LOVEC,Road Border Crossing Point,CZE: Czech Republic,,504107N0155847E,50.68527985,N,15.97972393,E,33U 569210 5615285,33U WS 69210 15285,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5673,HARRACHOV,Road Border Crossing Point,CZE: Czech Republic,,504746N0152511E,50.79611206,N,15.41972351,E,33U 529580 5627236,33U WS 29581 27236,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5674,HR?DEK NAD NISOU,Road Border Crossing Point,CZE: Czech Republic,,504823N0152538E,50.80638885,N,15.42722321,E,33U 530102 5628381,33U WS 30103 28382,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5676,STAR? HROZENKOV,Road Border Crossing Point,CZE: Czech Republic,,485713N0175342E,48.95361328,N,17.89500237,E,33U 711931 5426338,33U YQ 11932 26339,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5677,BUMB?LKA,Road Border Crossing Point,CZE: Czech Republic,,492352N0182425E,49.39777756,N,18.40694618,E,34U 311862 5474909,34U CV 11862 74910,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5679,DOLN? DVO?I?T?,Road Border Crossing Point,CZE: Czech Republic,,483838N0142722E,48.64389038,N,14.45611191,E,33U 459935 5388012,33U VP 59936 88013,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5680,?ESKê VELENICE,Road Border Crossing Point,CZE: Czech Republic,,484627N0145906E,48.77416992,N,14.98500156,E,33U 498897 5402351,33U VQ 98898 02352,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5681,HAT?,Road Border Crossing Point,CZE: Czech Republic,,484525N0160356E,48.75694656,N,16.06555557,E,33U 578315 5400984,33U WQ 78315 00985,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5682,MIKULOV,Road Border Crossing Point,CZE: Czech Republic,,484713N0163826E,48.78694534,N,16.64055634,E,33U 620503 5405069,33U XQ 20503 05070,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5683,HR?DEK NAD NISOU,Rail Border Crossing Point,CZE: Czech Republic,,505126N0145100E,50.85722351,N,14.85000134,E,33U 489442 5633958,33U VS 89442 33958,,No,No,No,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5684,D???N,Rail Border Crossing Point,CZE: Czech Republic,,504635N0141213E,50.77639008,N,14.20361137,E,33U 443849 5625261,33U VS 43850 25261,,No,No,No,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5685,CHEB,Rail Border Crossing Point,CZE: Czech Republic,,500412N0122253E,50.06999969,N,12.38138962,E,33U 312615 5549698,33U UR 12616 49698,,No,No,No,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5686,?ESK? KUBICE,Rail Border Crossing Point,CZE: Czech Republic,,492215N0125219E,49.37083435,N,12.87194633,E,33U 345512 5470858,33U UQ 45513 70859,,No,No,No,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5687,?ESK? T???N,Rail Border Crossing Point,CZE: Czech Republic,,494432N0183726E,49.74222183,N,18.62388992,E,34U 328810 5512680,34U CA 28810 12680,,No,No,No,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5689,MIKULOVICE,Rail Border Crossing Point,CZE: Czech Republic,,501809N0171919E,50.30250168,N,17.32194519,E,33U 665352 5574843,33U XR 65352 74844,,No,No,No,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5690,LICHKOV,Rail Border Crossing Point,CZE: Czech Republic,,500549N0163939E,50.0969429,N,16.66083527,E,33U 618784 5550730,33U XR 18785 50730,,No,No,No,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5691,MEZIMESTI,Rail Border Crossing Point,CZE: Czech Republic,,503739N0161444E,50.62750244,N,16.24555588,E,33U 588096 5609143,33U WS 88097 09143,,No,No,No,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5692,?ESKê VELENICE,Rail Border Crossing Point,CZE: Czech Republic,,484601N0145729E,48.76694489,N,14.9580574,E,33U 496917 5401549,33U VQ 96918 01549,,No,No,No,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5693,HORN? DVO?I?T?,Rail Border Crossing Point,CZE: Czech Republic,,483610N0142522E,48.60277939,N,14.42277908,E,33U 457445 5383460,33U VP 57446 83461,,No,No,No,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5694,LANZHOT,Rail Border Crossing Point,CZE: Czech Republic,,484403N0165744E,48.73416901,N,16.96222496,E,33U 644280 5399762,33U XP 44280 99762,,No,No,No,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA5695,HORN? LIDE?,Rail Border Crossing Point,CZE: Czech Republic,,491114N0180340E,49.18722153,N,18.06111145,E,34U 285862 5452426,34U BV 85863 52427,,No,No,No,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA7792,BOHUMIN,Road Border Crossing Point,CZE: Czech Republic,,495517N0181945E,49.92139053,N,18.32916641,E,34U 308289 5533310,34U CA 08289 33311,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA7793,BOHUMIN,Rail Border Crossing Point,CZE: Czech Republic,,495409N0182148E,49.90250015,N,18.36333466,E,34U 310667 5531123,34U CA 10667 31124,,No,No,No,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA7802,BOZI DAR,Road Border Crossing Point,CZE: Czech Republic,,502440N0125614E,50.41111374,N,12.93722439,E,33U 353437 5586375,33U UR 53437 86375,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA7814,BROUMOV,Road Border Crossing Point,CZE: Czech Republic,,495359N0123300E,49.89972305,N,12.55000114,E,33U 324059 5530359,33U UR 24060 30360,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA7826,CESKA KUBICE,Rail Border Crossing Point,CZE: Czech Republic,,492237N0125159E,49.3769455,N,12.86639023,E,33U 345128 5471549,33U UQ 45129 71549,,No,No,No,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA7834,CESKE VELENICE,Rail Border Crossing Point,CZE: Czech Republic,,484616N0145726E,48.77111435,N,14.95722389,E,33U 496856 5402012,33U VQ 96857 02013,,No,No,No,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA7837,CESKY TESIN,Road Border Crossing Point,CZE: Czech Republic,,494547N0183647E,49.76305771,N,18.61305618,E,34U 328103 5515020,34U CA 28104 15021,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA7838,CESKY TESIN,Rail Border Crossing Point,CZE: Czech Republic,,494424N0183728E,49.74000168,N,18.62444496,E,34U 328842 5512431,34U CA 28843 12432,,No,No,No,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA7850,CINOVEC,Road Border Crossing Point,CZE: Czech Republic,,504359N0134617E,50.73305893,N,13.77139091,E,33U 413296 5620860,33U VS 13296 20860,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA7853,DECIN,Rail Border Crossing Point,CZE: Czech Republic,,504626N0141206E,50.77389145,N,14.20166683,E,33U 443709 5624984,33U VS 43710 24985,,No,No,No,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA7868,DOLNI DVORISTE,Road Border Crossing Point,CZE: Czech Republic,,483843N0142718E,48.64527893,N,14.45500088,E,33U 459855 5388167,33U VP 59855 88168,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA7875,HABARTICE,Road Border Crossing Point,CZE: Czech Republic,,510123N0150357E,51.02305603,N,15.06583309,E,33U 504617 5652390,33U WS 04617 52391,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA7877,HALAMKY,Road Border Crossing Point,CZE: Czech Republic,,484922N0145806E,48.82278061,N,14.96833515,E,33U 497675 5407755,33U VQ 97676 07756,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA7884,HLUCIN,Road Border Crossing Point,CZE: Czech Republic,,495627N0181650E,49.94083405,N,18.28055573,E,34U 304878 5535597,34U CA 04879 35598,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA7894,HORNI BECVA,Road Border Crossing Point,CZE: Czech Republic,,492403N0182426E,49.40083313,N,18.40722275,E,34U 311893 5475248,34U CV 11894 75249,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA7896,HORNI DVORISTE,Rail Border Crossing Point,CZE: Czech Republic,,483615N0142515E,48.60416794,N,14.42083454,E,33U 457303 5383616,33U VP 57304 83616,,No,No,No,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA7898,HORNI LIDEC,Rail Border Crossing Point,CZE: Czech Republic,,491119N0180335E,49.18861008,N,18.0597229,E,34U 285767 5452585,34U BV 85767 52585,,No,No,No,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA7910,HRADEK nad NISOU,Road Border Crossing Point,CZE: Czech Republic,,505220N0144949E,50.8722229,N,14.83027935,E,33U 488057 5635629,33U VS 88058 35629,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA7960,KRALIKY,Road Border Crossing Point,CZE: Czech Republic,,500554N0164216E,50.09833527,N,16.70444679,E,33U 621900 5550955,33U XR 21900 50955,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA7963,KRNOV,Road Border Crossing Point,CZE: Czech Republic,,500702N0174143E,50.11722183,N,17.69528008,E,33U 692680 5555142,33U XR 92680 55143,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA7976,LANZHOT,Road Border Crossing Point,CZE: Czech Republic,,484128N0165917E,48.69111252,N,16.98805809,E,33U 646304 5395025,33U XP 46305 95026,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA7989,LISKOVA,Road Border Crossing Point,CZE: Czech Republic,,492506N0124257E,49.41833496,N,12.71583462,E,33U 334340 5476470,33U UQ 34341 76470,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA8067,POSTORNA,Road Border Crossing Point,CZE: Czech Republic,,484302N0165009E,48.71722412,N,16.8358345,E,33U 635033 5397647,33U XP 35033 97647,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA8117,STARY HROZENKOV,Road Border Crossing Point,CZE: Czech Republic,,485716N0175346E,48.95444489,N,17.89611244,E,33U 712009 5426434,33U YQ 12010 26434,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA8128,STRAZNY,Road Border Crossing Point,CZE: Czech Republic,,485253N0134224E,48.88138962,N,13.7066679,E,33U 405179 5415076,33U VQ 05179 15077,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA8136,SUDICE,Road Border Crossing Point,CZE: Czech Republic,,500200N0180427E,50.03333282,N,18.07416725,E,34U 290474 5546438,34U BA 90475 46439,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA8170,VOJTANOV,Rail Border Crossing Point,CZE: Czech Republic,,501016N0121935E,50.17111206,N,12.32638931,E,33U 309083 5561077,33U UR 09083 61078,,No,No,No,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA8191,ZELEZNA RUDA,Road Border Crossing Point,CZE: Czech Republic,,490725N0131225E,49.12361145,N,13.20694447,E,33U 369179 5442745,33U UQ 69179 42745,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
